,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
49,DISTRICT OF COLUMBIA,2016,36.0,33.0,5.0,1124.0,2402.0,2.1370106761565837,3526.0,False,Democrat,4.0,4.0,0.0,2.0,5.0,0.0,6.0,0.0,6.0,2.0,3.0,2.0,2.0,0.0
50,DISTRICT OF COLUMBIA,2017,46.0,42.0,7.0,1354.0,2661.0,1.965288035450517,4015.0,False,Democrat,2.0,2.0,0.0,1.0,1.0,0.0,11.0,10.0,10.0,6.0,1.0,0.0,2.0,0.0
51,DISTRICT OF COLUMBIA,2018,34.0,29.0,8.0,1807.0,2621.0,1.450470392916436,4428.0,False,Democrat,0.0,0.0,3.0,6.0,4.0,0.0,9.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0
52,DISTRICT OF COLUMBIA,2019,32.0,30.0,3.0,1346.0,2173.0,1.6144130757800892,3519.0,False,Democrat,1.0,2.0,1.0,2.0,4.0,0.0,4.0,3.0,9.0,1.0,1.0,3.0,1.0,0.0
53,DISTRICT OF COLUMBIA,2020,19.0,15.0,5.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,1.0,1.0,3.0,0.0,5.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0
54,FLORIDA,2015,938.0,834.0,167.0,12227.0,12741.0,1.0420381123742537,24968.0,True,Republican,50.0,56.0,42.0,38.0,75.0,11.0,280.0,58.0,106.0,69.0,109.0,34.0,9.0,1.0
55,FLORIDA,2016,1059.0,947.0,182.0,12846.0,14298.0,1.1130312937879496,27144.0,True,Republican,93.0,79.0,32.0,45.0,91.0,12.0,301.0,77.0,118.0,109.0,41.0,51.0,10.0,0.0
56,FLORIDA,2017,1100.0,1000.0,165.0,13446.0,16886.0,1.2558381674847539,30332.0,True,Republican,71.0,87.0,43.0,46.0,100.0,12.0,304.0,83.0,141.0,82.0,52.0,62.0,16.0,1.0
57,FLORIDA,2018,1133.0,1032.0,183.0,13943.0,19746.0,1.41619450620383,33689.0,True,Republican,101.0,65.0,37.0,65.0,98.0,13.0,321.0,80.0,138.0,101.0,40.0,67.0,7.0,0.0
58,FLORIDA,2019,1163.0,1062.0,176.0,14900.0,22984.0,1.5425503355704697,37884.0,True,Republican,77.0,90.0,34.0,75.0,104.0,12.0,296.0,100.0,142.0,98.0,48.0,65.0,22.0,0.0
59,FLORIDA,2020,752.0,689.0,129.0,0.0,0.0,0.0,0.0,True,Republican,62.0,59.0,25.0,37.0,59.0,7.0,210.0,56.0,96.0,62.0,32.0,36.0,11.0,0.0
60,GEORGIA,2015,508.0,379.0,162.0,5607.0,7782.0,1.387907972177635,13389.0,True,Democrat,38.0,28.0,11.0,24.0,38.0,3.0,188.0,24.0,48.0,41.0,45.0,14.0,6.0,0.0
61,GEORGIA,2016,562.0,416.0,202.0,6840.0,8726.0,1.2757309941520467,15566.0,True,Democrat,38.0,23.0,10.0,22.0,43.0,9.0,226.0,27.0,64.0,50.0,19.0,23.0,7.0,1.0
62,GEORGIA,2017,576.0,436.0,175.0,6620.0,9248.0,1.3969788519637463,15868.0,True,Democrat,36.0,16.0,16.0,28.0,51.0,5.0,208.0,45.0,80.0,55.0,9.0,19.0,7.0,1.0
63,GEORGIA,2018,580.0,457.0,167.0,7938.0,9420.0,1.1866969009826154,17358.0,True,Democrat,29.0,25.0,10.0,29.0,49.0,2.0,193.0,38.0,91.0,66.0,21.0,20.0,5.0,2.0
64,GEORGIA,2019,623.0,477.0,200.0,8572.0,10749.0,1.2539664022398507,19321.0,True,Democrat,42.0,29.0,14.0,34.0,48.0,7.0,227.0,45.0,65.0,69.0,9.0,24.0,10.0,0.0
65,GEORGIA,2020,399.0,309.0,113.0,0.0,0.0,0.0,0.0,True,Democrat,30.0,20.0,9.0,22.0,33.0,2.0,131.0,27.0,51.0,31.0,11.0,27.0,5.0,0.0
66,HAWAII,2015,16.0,15.0,4.0,2310.0,1740.0,0.7532467532467533,4050.0,False,Democrat,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0
67,HAWAII,2016,4.0,2.0,2.0,2196.0,1737.0,0.7909836065573771,3933.0,False,Democrat,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,HAWAII,2017,4.0,2.0,2.0,2390.0,1525.0,0.6380753138075314,3915.0,False,Democrat,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,HAWAII,2018,7.0,6.0,1.0,2972.0,1454.0,0.4892328398384926,4426.0,False,Democrat,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
70,HAWAII,2019,12.0,10.0,2.0,3302.0,967.0,0.2928528164748637,4269.0,False,Democrat,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
71,HAWAII,2020,11.0,9.0,3.0,0.0,0.0,0.0,0.0,False,Democrat,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
72,IDAHO,2015,86.0,64.0,33.0,662.0,931.0,1.406344410876133,1593.0,True,Republican,4.0,1.0,1.0,5.0,6.0,1.0,37.0,7.0,11.0,8.0,1.0,3.0,1.0,0.0
73,IDAHO,2016,99.0,76.0,29.0,992.0,1394.0,1.405241935483871,2386.0,True,Republican,3.0,1.0,2.0,8.0,7.0,0.0,35.0,9.0,6.0,17.0,3.0,8.0,0.0,0.0
